t Tsurf Tprobe theta lnR dTdt dlnR
2.5861111 12.058648 16.381789 0.14975384 7.7450082 -0.14082153 0.00041316751
2.5958333 12.055927 16.373592 0.14975014 7.7452488 -0.14019672 0.00041169432
2.6055556 12.053271 16.365431 0.14974646 7.7454886 -0.13957108 0.00041021877
2.6152778 12.05068 16.357308 0.14974277 7.7457274 -0.13894461 0.00040874089
2.625 12.048153 16.34922 0.14973909 7.7459655 -0.13831731 0.00040726067
2.6347222 12.04569 16.341169 0.14973541 7.7462026 -0.13768918 0.00040577812
2.6444444 12.043292 16.333155 0.14973173 7.7464389 -0.13706024 0.00040429325
2.6541667 12.040959 16.325178 0.14972806 7.7466743 -0.13643047 0.00040280607
2.6638889 12.038689 16.317237 0.14972439 7.7469089 -0.13579988 0.00040131659
2.6736111 12.036485 16.309333 0.14972072 7.7471426 -0.13516848 0.00039982481
2.6833333 12.034345 16.301466 0.14971705 7.7473754 -0.13453627 0.00039833075
2.6930556 12.03227 16.293636 0.14971339 7.7476073 -0.13390325 0.00039683441
2.7027778 12.030259 16.285843 0.14970973 7.7478384 -0.13326942 0.0003953358
2.7125 12.028312 16.278087 0.14970607 7.7480686 -0.13263478 0.00039383494
2.7222222 12.026431 16.270368 0.14970242 7.7482979 -0.13199934 0.00039233182
2.7319444 12.024614 16.262686 0.14969877 7.7485263 -0.13136311 0.00039082646
2.7416667 12.022861 16.255041 0.14969512 7.7487539 -0.13072607 0.00038931886
2.7513889 12.021174 16.247434 0.14969148 7.7489806 -0.13008824 0.00038780904
2.7611111 12.01955 16.239863 0.14968784 7.7492063 -0.12944962 0.00038629701
2.7708333 12.017992 16.23233 0.1496842 7.7494313 -0.12881021 0.00038478277
2.7805556 12.016498 16.224834 0.14968056 7.7496553 -0.12817001 0.00038326634
2.7902778 12.015069 16.217376 0.14967693 7.7498784 -0.12752903 0.00038174772
2.8 12.013705 16.209955 0.1496733 7.7501007 -0.12688727 0.00038022692
2.8097222 12.012405 16.202571 0.14966968 7.7503221 -0.12624474 0.00037870396
2.8194444 12.01117 16.195225 0.14966605 7.7505425 -0.12560142 0.00037717884
2.8291667 12.01 16.187916 0.14966243 7.7507621 -0.12495734 0.00037565157
2.8388889 12.008894 16.180646 0.14965881 7.7509808 -0.12431248 0.00037412216
2.8486111 12.007853 16.173412 0.1496552 7.7511986 -0.12366686 0.00037259063
