S nodes capex p0p5 a0p5 t0p5 p1 a1 t1 p3 a3 t3 p10 a10 t10 p30 a30 t30
176.68067 0.36991677 1816.1952 0.0001961026 3.1862108 83.923014 0.00069126342 3.114491 82.973107 0.0052326485 2.8530107 79.413716 0.04943943 2.0806291 67.817402 0.39065292 0.6089844 36.689931
178.23529 0.36349186 1784.6505 0.00019269659 3.2432584 84.670982 0.00067925719 3.1708957 83.721075 0.0051417651 2.9070066 80.161684 0.048580741 2.1267773 68.56537 0.38386786 0.63406723 37.437899
179.78992 0.3572329 1753.9207 0.00018937855 3.3008122 85.41895 0.00066756107 3.2278067 84.469043 0.0050532291 2.9615088 80.909651 0.047744229 2.1734316 69.313337 0.37725804 0.65965624 38.185867
181.34454 0.35113422 1723.9777 0.00018614547 3.3588722 86.166918 0.00065616446 3.2852238 85.217011 0.0049669603 3.0165171 81.657619 0.046929139 2.2205922 70.061305 0.37081749 0.68575144 38.933835
182.89916 0.34519038 1694.795 0.00018299449 3.4174383 86.914885 0.00064505722 3.3431471 85.964979 0.004882882 3.0720316 82.405587 0.046134745 2.268259 70.809273 0.36454047 0.71235282 39.681803
184.45378 0.3393962 1666.3471 0.00017992284 3.4765107 87.662853 0.00063422964 3.4015766 86.712946 0.0048009206 3.1280523 83.153555 0.045360352 2.3164319 71.557241 0.35842149 0.73946039 40.42977
186.0084 0.3337467 1638.6095 0.00017692789 3.5360892 88.410821 0.00062367241 3.4605122 87.460914 0.0047210056 3.1845792 83.901522 0.044605295 2.365111 72.305208 0.35245529 0.76707414 41.177738
187.56303 0.32823709 1611.5588 0.0001740071 3.5961739 89.158789 0.0006133766 3.5199541 88.208882 0.0046430695 3.2416122 84.64949 0.043868935 2.4142963 73.053176 0.34663683 0.79519407 41.925706
189.11765 0.32286279 1585.1724 0.00017115805 3.6567648 89.906756 0.00060333365 3.5799021 88.95685 0.0045670476 3.2991514 85.397458 0.043150659 2.4639878 73.801144 0.34096127 0.82382019 42.673674
190.67227 0.31761941 1559.4287 0.0001683784 3.7178618 90.654724 0.00059353535 3.6403564 89.704818 0.0044928775 3.3571969 86.145426 0.042449881 2.5141855 74.549112 0.33542397 0.85295249 43.421642
192.22689 0.31250274 1534.3072 0.00016566591 3.7794651 91.402692 0.00058397382 3.7013168 90.452785 0.0044204997 3.4157485 86.893394 0.041766036 2.5648893 75.29708 0.33002047 0.88259097 44.169609
193.78151 0.30750871 1509.7878 0.00016301845 3.8415745 92.15066 0.00057464149 3.7627834 91.200753 0.0043498568 3.4748063 87.641361 0.041098584 2.6160994 76.045047 0.3247465 0.91273564 44.917577
195.33613 0.30263345 1485.8516 0.00016043394 3.9041901 92.898628 0.00056553109 3.8247561 91.948721 0.0042808939 3.5343702 88.389329 0.040447005 2.6678156 76.793015 0.31959795 0.94338649 45.665545
196.89076 0.29787322 1462.48 0.00015791042 3.967312 93.646595 0.00055663564 3.8872351 92.696689 0.0042135582 3.5944404 89.137297 0.039810799 2.720038 77.540983 0.31457088 0.97454353 46.413513
198.44538 0.29322442 1439.6556 0.00015544597 4.0309399 94.394563 0.00054794843 3.9502202 93.444656 0.0041477987 3.6550167 89.885265 0.039189486 2.7727666 78.288951 0.30966148 1.0062067 47.16148
200 0.2886836 1417.3614 0.00015303876 4.0950741 95.142531 0.00053946301 4.0137115 94.192624 0.0040835667 3.7160992 90.633233 0.038582606 2.8260013 79.036919 0.30486613 1.0383761 47.909448
