beta_neg beta_pos gamma_neg gamma_pos
0.33272494 11.508076 0.00075386531 0.020869006
0.33273325 11.510402 0.00075437191 0.020880279
0.33297173 11.512739 0.00075437993 0.020895926
0.33353672 11.512771 0.00075530965 0.021008229
0.33373095 11.519864 0.00075549457 0.021065515
0.33385938 11.524043 0.00075631792 0.021067758
0.33419124 11.541262 0.00075663198 0.021105726
0.33448119 11.578509 0.00075694873 0.02112691
0.33479706 11.590565 0.00075750993 0.021143029
0.33493709 11.593814 0.00075792396 0.021233539
0.33511207 11.614379 0.00075797565 0.021241773
0.33518486 11.624382 0.0007580006 0.021257555
0.33522786 11.647714 0.0007580333 0.021264724
0.33537515 11.654414 0.00075878996 0.021267611
0.33596505 11.655182 0.00075905074 0.021304654
0.33656598 11.682319 0.00075910919 0.021305665
0.33669932 11.704093 0.00075923995 0.021307537
0.33672617 11.763785 0.00076006712 0.021321738
0.33676177 11.789425 0.00076016516 0.021364256
0.33759033 11.798406 0.00076062732 0.021366902
0.3376071 11.814559 0.00076155455 0.021371555
0.33765938 11.843599 0.00076192323 0.021409005
0.33792339 11.848496 0.00076194304 0.021456868
0.33812401 11.859498 0.00076194709 0.021462907
0.33831299 11.859657 0.0007634676 0.021465897
0.33846002 11.87753 0.00076395387 0.021475138
0.33850583 11.878313 0.00076518916 0.021557242
0.33860777 11.881252 0.00076551461 0.021607351
0.33932928 11.883493 0.00076594342 0.021608043
0.34006613 11.937738 0.00076626687 0.021717346
0.34036429 11.946874 0.00076658416 0.02171741
0.34072041 11.972726 0.00076674673 0.021743024
0.34076018 11.973305 0.00076712367 0.02176156
0.3408641 11.978961 0.00076751658 0.021769297
0.34092983 11.99001 0.00076812038 0.021782739
0.3409435 12.025183 0.00076816313 0.021821167
0.34094909 12.032285 0.00076933917 0.021823993
0.34130282 12.038913 0.00077000697 0.021827125
0.34156089 12.039052 0.00077021945 0.021846409
0.34202299 12.051576 0.00077025151 0.021888292
0.34202596 12.061683 0.00077030147 0.021911541
0.34207743 12.06238 0.00077129118 0.021955061
0.34228734 12.069965 0.0007713807 0.021975483
0.34229394 12.072985 0.00077214284 0.021984577
0.34289106 12.080632 0.00077248832 0.022030166
0.34292337 12.085661 0.00077302207 0.022065424
0.3432113 12.094928 0.00077316451 0.02208779
0.34336255 12.134011 0.00077380102 0.022093216
0.34336712 12.140905 0.00077410757 0.022126959
0.34337284 12.168935 0.00077452931 0.022144054
0.34352293 12.173182 0.00077488167 0.022190656
0.34379476 12.178486 0.00077500348 0.022195393
0.34429521 12.200565 0.00077553693 0.022229161
0.34460016 12.201556 0.00077576772 0.022240367
0.34488288 12.204696 0.00077585031 0.02226159
0.34490618 12.211765 0.00077598185 0.02226928
0.34555309 12.247612 0.00077602577 0.022324533
0.34573303 12.254585 0.0007763087 0.022349048
0.34580794 12.257588 0.00077641332 0.022352713
0.34621624 12.25892 0.00077659694 0.02239095
0.34663909 12.275138 0.00077689154 0.022407424
0.34698077 12.301898 0.00077777311 0.022428639
0.34725529 12.310889 0.00077803149 0.022439445
0.34740118 12.314339 0.00077818724 0.022481443
0.34741845 12.32425 0.00077861369 0.02250685
0.34744528 12.326593 0.00077878936 0.022511781
0.34754441 12.334996 0.00077911323 0.022514791
0.34807031 12.339764 0.00077926984 0.022542382
0.34822167 12.362003 0.00077961028 0.022574923
0.34824875 12.377669 0.00078101965 0.02258968
0.34868959 12.382379 0.00078195337 0.022609142
0.34880171 12.410536 0.00078196717 0.022628225
0.34894065 12.413104 0.00078288637 0.022646946
0.3490973 12.413903 0.00078319771 0.022647861
0.34953676 12.414402 0.00078467913 0.022668657
0.34995285 12.414998 0.00078579082 0.022673441
0.3499844 12.433354 0.00078614459 0.022686575
0.35011604 12.457698 0.00078622265 0.022724256
0.3501259 12.490167 0.00078623434 0.022724343
0.35035586 12.492892 0.00078645847 0.022773517
0.35043222 12.503269 0.00078648434 0.022798822
0.35064925 12.542489 0.00078948159 0.022815038
0.35086609 12.543126 0.00078961876 0.02281599
0.35115497 12.557322 0.00079115153 0.02282466
0.35177619 12.59785 0.00079119922 0.02283564
0.35183816 12.607865 0.000791234 0.022885693
0.35186096 12.62166 0.00079145955 0.022895407
0.35203139 12.644386 0.0007916843 0.022940903
0.3521911 12.699429 0.00079175154 0.022958375
0.353219 12.724741 0.00079202302 0.02296031
0.35337999 12.737148 0.00079323617 0.022989395
