lead cdf
46.971533 0.21972656
47.228148 0.22167969
47.374115 0.22363281
47.556703 0.22558594
48.014032 0.22753906
48.164333 0.22949219
48.327199 0.23144531
48.701701 0.23339844
48.946565 0.23535156
49.123901 0.23730469
49.466023 0.23925781
49.54572 0.24121094
49.683767 0.24316406
49.848638 0.24511719
49.98501 0.24707031
50.340884 0.24902344
50.723013 0.25097656
50.816227 0.25292969
51.037203 0.25488281
51.181605 0.25683594
51.677026 0.25878906
51.92353 0.26074219
52.014695 0.26269531
52.06719 0.26464844
52.124781 0.26660156
52.433949 0.26855469
52.46768 0.27050781
52.734242 0.27246094
52.872284 0.27441406
52.984411 0.27636719
53.117231 0.27832031
53.175428 0.28027344
53.304309 0.28222656
53.606868 0.28417969
53.788498 0.28613281
54.034752 0.28808594
54.656801 0.29003906
54.668547 0.29199219
55.310953 0.29394531
55.372721 0.29589844
55.522167 0.29785156
56.053295 0.29980469
56.238826 0.30175781
56.412206 0.30371094
56.643777 0.30566406
56.704772 0.30761719
56.967963 0.30957031
57.441959 0.31152344
57.660604 0.31347656
57.957325 0.31542969
57.982837 0.31738281
58.134522 0.31933594
58.403412 0.32128906
58.545928 0.32324219
58.766282 0.32519531
58.980744 0.32714844
59.117135 0.32910156
59.239372 0.33105469
59.321925 0.33300781
59.379604 0.33496094
59.845432 0.33691406
59.904451 0.33886719
60.084216 0.34082031
60.294752 0.34277344
60.435102 0.34472656
60.843885 0.34667969
61.036931 0.34863281
61.100423 0.35058594
61.122378 0.35253906
61.324864 0.35449219
61.533529 0.35644531
61.597724 0.35839844
61.94197 0.36035156
62.091037 0.36230469
62.249056 0.36425781
62.689588 0.36621094
62.863138 0.36816406
63.194916 0.37011719
63.405167 0.37207031
63.510882 0.37402344
63.757224 0.37597656
63.803743 0.37792969
64.04352 0.37988281
64.333684 0.38183594
64.376925 0.38378906
64.869938 0.38574219
65.077339 0.38769531
65.167184 0.38964844
65.332923 0.39160156
65.661212 0.39355469
65.923961 0.39550781
66.085195 0.39746094
66.163809 0.39941406
66.250926 0.40136719
66.363084 0.40332031
66.614243 0.40527344
66.831519 0.40722656
66.902494 0.40917969
67.012509 0.41113281
67.062934 0.41308594
67.188379 0.41503906
67.331708 0.41699219
67.39924 0.41894531
67.425175 0.42089844
67.629859 0.42285156
67.951218 0.42480469
68.0188 0.42675781
68.237077 0.42871094
