z T3p0 th3p0 T3p5 th3p5 T4p0 th4p0 T4p5 th4p5 T5p0 th5p0 T6p0 th6p0
24.875 22.178708 0.18760559 21.932241 0.18738817 21.722775 0.18717515 22.189701 0.18701207 24.937822 0.1870605 34.368576 0.18828844
25.125 22.207102 0.18790252 21.964583 0.18768524 21.754411 0.18747202 22.158514 0.18730418 24.72214 0.18733225 33.84892 0.18845428
25.375 22.234506 0.18819662 21.995933 0.18797949 21.785541 0.18776612 22.132575 0.18759397 24.521089 0.18760334 33.345671 0.18862628
25.625 22.260935 0.18848794 22.026306 0.18827097 21.816125 0.18805749 22.111387 0.18788144 24.333927 0.18787362 32.858681 0.18880389
25.875 22.286406 0.18877652 22.055717 0.18855972 21.846128 0.18834616 22.094489 0.1881666 24.15993 0.18814296 32.387778 0.18898661
26.125 22.310938 0.1890624 22.084181 0.18884578 21.875522 0.18863217 22.081456 0.18844945 23.998396 0.18841125 31.932768 0.18917396
26.375 22.334548 0.18934562 22.111712 0.18912919 21.904282 0.18891556 22.071894 0.18872998 23.848644 0.18867839 31.493437 0.18936549
26.625 22.357252 0.18962622 22.138327 0.18940998 21.932388 0.18919637 22.065441 0.18900822 23.710013 0.18894428 31.069549 0.18956078
26.875 22.379067 0.18990423 22.164039 0.1896882 21.959824 0.18947462 22.061763 0.18928416 23.581868 0.18920886 30.660856 0.18975944
27.125 22.40001 0.19017969 22.188864 0.18996387 21.986575 0.18975035 22.060554 0.18955783 23.463596 0.18947205 30.267089 0.18996108
27.375 22.420098 0.19045263 22.212817 0.19023704 22.012632 0.1900236 22.061532 0.18982922 23.354607 0.18973379 29.887968 0.19016537
27.625 22.439348 0.1907231 22.235914 0.19050773 22.037988 0.19029439 22.064439 0.19009836 23.254335 0.18999404 29.5232 0.19037198
27.875 22.457776 0.19099112 22.258167 0.19077599 22.062637 0.19056277 22.069039 0.19036526 23.16224 0.19025274 29.172482 0.19058061
28.125 22.475399 0.19125673 22.279594 0.19104184 22.086576 0.19082875 22.075116 0.19062994 23.077802 0.19050985 28.835498 0.19079098
28.375 22.492232 0.19151996 22.300208 0.19130532 22.109803 0.19109237 22.082472 0.1908924 23.000527 0.19076535 28.511929 0.19100284
28.625 22.508292 0.19178083 22.320025 0.19156645 22.132319 0.19135367 22.090927 0.19115267 22.929942 0.19101921 28.201444 0.19121594
28.875 22.523595 0.19203939 22.339059 0.19182526 22.154126 0.19161266 22.10032 0.19141076 22.865599 0.19127139 27.903711 0.19143006
29.125 22.538157 0.19229565 22.357324 0.19208179 22.175226 0.19186938 22.1105 0.19166669 22.807071 0.19152188 27.61839 0.19164499
29.375 22.551993 0.19254965 22.374836 0.19233607 22.195624 0.19212385 22.121333 0.19192048 22.753952 0.19177066 27.34514 0.19186055
29.625 22.565119 0.19280141 22.391608 0.19258811 22.215325 0.19237611 22.132697 0.19217215 22.705859 0.19201772 27.083616 0.19207657
29.875 22.57755 0.19305097 22.407656 0.19283795 22.234335 0.19262617 22.144482 0.1924217 22.662429 0.19226304 26.833475 0.19229287
30.125 22.589303 0.19329834 22.422993 0.19308561 22.252661 0.19287406 22.156589 0.19266916 22.623317 0.19250661 26.59437 0.19250932
30.375 22.600391 0.19354356 22.437633 0.19333112 22.270309 0.19311981 22.168927 0.19291456 22.588199 0.19274843 26.365957 0.19272577
30.625 22.61083 0.19378664 22.451591 0.19357451 22.287289 0.19336344 22.181416 0.19315789 22.55677 0.19298849 26.147891 0.19294211
30.875 22.620635 0.19402762 22.46488 0.19381579 22.303608 0.19360497 22.193984 0.1933992 22.528742 0.19322679 25.939833 0.19315821
31.125 22.62982 0.19426651 22.477514 0.19405499 22.319276 0.19384444 22.206566 0.19363848 22.503844 0.19346332 25.741443 0.19337398
31.375 22.6384 0.19450335 22.489508 0.19429213 22.334302 0.19408185 22.219105 0.19387576 22.481822 0.19369809 25.552387 0.19358932
31.625 22.646388 0.19473814 22.500874 0.19452724 22.348695 0.19431723 22.23155 0.19411106 22.462438 0.19393109 25.372333 0.19380413
31.875 22.6538 0.19497092 22.511625 0.19476034 22.362466 0.19455061 22.243854 0.19434439 22.445467 0.19416233 25.200955 0.19401834
32.125 22.660649 0.1952017 22.521776 0.19499144 22.375624 0.194782 22.255979 0.19457577 22.430701 0.19439181 25.037931 0.19423187
32.375 22.666949 0.19543051 22.531339 0.19522058 22.388181 0.19501143 22.267889 0.19480522 22.417945 0.19461952 24.882945 0.19444466
32.625 22.672713 0.19565737 22.540328 0.19544776 22.400145 0.19523891 22.279552 0.19503275 22.407016 0.19484549 24.735687 0.19465664
32.875 22.677955 0.19588229 22.548754 0.19567301 22.411528 0.19546446 22.290943 0.19525838 22.397743 0.1950697 24.595852 0.19486776
33.125 22.682688 0.19610529 22.556632 0.19589635 22.422341 0.1956881 22.302037 0.19548213 22.389969 0.19529217 24.463142 0.19507797
33.375 22.686926 0.19632639 22.563973 0.19611779 22.432594 0.19590986 22.312814 0.19570401 22.383545 0.1955129 24.337267 0.19528722
33.625 22.69068 0.19654562 22.57079 0.19633736 22.442298 0.19612973 22.323259 0.19592404 22.378335 0.19573189 24.217942 0.19549546
33.875 22.693964 0.19676298 22.577096 0.19655506 22.451464 0.19634776 22.333355 0.19614223 22.374213 0.19594916 24.104889 0.19570265
34.125 22.696791 0.19697849 22.582902 0.19677092 22.460102 0.19656394 22.343092 0.1963586 22.371059 0.19616471 23.997838 0.19590877
34.375 22.699172 0.19719218 22.58822 0.19698495 22.468224 0.1967783 22.352459 0.19657316 22.368765 0.19637854 23.896526 0.19611378
34.625 22.70112 0.19740405 22.593062 0.19719718 22.475839 0.19699085 22.361448 0.19678593 22.367231 0.19659067 23.800698 0.19631764
34.875 22.702646 0.19761413 22.59744 0.1974076 22.482959 0.1972016 22.370055 0.19699691 22.366362 0.1968011 23.710105 0.19652034
35.125 22.703763 0.19782242 22.601366 0.19761625 22.489594 0.19741058 22.378273 0.19720613 22.366075 0.19700983 23.624507 0.19672184
35.375 22.704481 0.19802894 22.60485 0.19782312 22.495755 0.19761779 22.386101 0.1974136 22.366288 0.19721688 23.54367 0.19692213
35.625 22.704814 0.19823371 22.607904 0.19802824 22.501452 0.19782325 22.393536 0.19761932 22.366931 0.19742225 23.467369 0.19712118
35.875 22.70477 0.19843673 22.610539 0.19823163 22.506696 0.19802697 22.400578 0.19782331 22.367936 0.19762595 23.395385 0.19731898
36.125 22.704362 0.19863803 22.612766 0.19843328 22.511497 0.19822897 22.407226 0.19802559 22.369243 0.19782799 23.327507 0.1975155
36.375 22.703601 0.19883761 22.614596 0.19863322 22.515864 0.19842926 22.413483 0.19822616 22.370794 0.19802837 23.263532 0.19771074
36.625 22.702496 0.19903548 22.616038 0.19883146 22.519809 0.19862784 22.419351 0.19842504 22.372541 0.19822711 23.203264 0.19790467
36.875 22.701059 0.19923166 22.617104 0.199028 22.523341 0.19882473 22.424832 0.19862223 22.374435 0.1984242 23.146512 0.19809729
37.125 22.6993 0.19942616 22.617804 0.19922286 22.52647 0.19901994 22.429929 0.19881775 22.376436 0.19861966 23.093096 0.19828858
37.375 22.697228 0.19961899 22.618147 0.19941605 22.529206 0.19921349 22.434647 0.1990116 22.378504 0.19881349 23.042839 0.19847854
37.625 22.694853 0.19981016 22.618144 0.19960759 22.531558 0.19940537 22.43899 0.1992038 22.380604 0.19900569 22.995574 0.19866714
37.875 22.692186 0.19999967 22.617804 0.19979747 22.533535 0.19959561 22.442963 0.19939436 22.382706 0.19919629 22.951139 0.19885439
38.125 22.689235 0.20018754 22.617136 0.19998571 22.535148 0.1997842 22.446571 0.19958328 22.384781 0.19938527 22.909379 0.19904027
38.375 22.686011 0.20037378 22.616151 0.20017231 22.536405 0.19997116 22.449819 0.19977057 22.386803 0.19957265 22.870145 0.19922478
