canopy duty lolp
0.143846 0.585897 0
0.143846 0.610256 0
0.143846 0.634615 0
0.143846 0.658974 0
0.143846 0.683333 0
0.143846 0.707692 0
0.143846 0.732051 0
0.143846 0.75641 0
0.143846 0.780769 0
0.143846 0.805128 0
0.143846 0.829487 0
0.143846 0.853846 0
0.143846 0.878205 0
0.143846 0.902564 0
0.143846 0.926923 0
0.143846 0.951282 0
0.143846 0.975641 0
0.143846 1 0

0.151282 0.05 0
0.151282 0.074359 0
0.151282 0.0987179 0
0.151282 0.123077 0
0.151282 0.147436 0
0.151282 0.171795 0
0.151282 0.196154 0
0.151282 0.220513 0
0.151282 0.244872 0
0.151282 0.269231 0
0.151282 0.29359 0
0.151282 0.317949 0
0.151282 0.342308 0
0.151282 0.366667 0
0.151282 0.391026 0
0.151282 0.415385 0
0.151282 0.439744 0
0.151282 0.464103 0
0.151282 0.488462 0
0.151282 0.512821 0
0.151282 0.537179 0
0.151282 0.561538 0
0.151282 0.585897 0
0.151282 0.610256 0
0.151282 0.634615 0
0.151282 0.658974 0
0.151282 0.683333 0
0.151282 0.707692 0
0.151282 0.732051 0
0.151282 0.75641 0
0.151282 0.780769 0
0.151282 0.805128 0
0.151282 0.829487 0
0.151282 0.853846 0
0.151282 0.878205 0
0.151282 0.902564 0
0.151282 0.926923 0
0.151282 0.951282 0
0.151282 0.975641 0
0.151282 1 0

0.158718 0.05 0
0.158718 0.074359 0
0.158718 0.0987179 0
0.158718 0.123077 0
0.158718 0.147436 0
0.158718 0.171795 0
0.158718 0.196154 0
0.158718 0.220513 0
0.158718 0.244872 0
0.158718 0.269231 0
0.158718 0.29359 0
0.158718 0.317949 0
0.158718 0.342308 0
0.158718 0.366667 0
0.158718 0.391026 0
0.158718 0.415385 0
0.158718 0.439744 0
0.158718 0.464103 0
0.158718 0.488462 0
0.158718 0.512821 0
0.158718 0.537179 0
0.158718 0.561538 0
0.158718 0.585897 0
0.158718 0.610256 0
0.158718 0.634615 0
0.158718 0.658974 0
0.158718 0.683333 0
0.158718 0.707692 0
0.158718 0.732051 0
0.158718 0.75641 0
0.158718 0.780769 0
0.158718 0.805128 0
0.158718 0.829487 0
0.158718 0.853846 0
0.158718 0.878205 0
0.158718 0.902564 0
0.158718 0.926923 0
0.158718 0.951282 0
0.158718 0.975641 0
0.158718 1 0

0.166154 0.05 0
0.166154 0.074359 0
0.166154 0.0987179 0
0.166154 0.123077 0
0.166154 0.147436 0
0.166154 0.171795 0
0.166154 0.196154 0
0.166154 0.220513 0
0.166154 0.244872 0
0.166154 0.269231 0
0.166154 0.29359 0
0.166154 0.317949 0
0.166154 0.342308 0
0.166154 0.366667 0
0.166154 0.391026 0
0.166154 0.415385 0
0.166154 0.439744 0
0.166154 0.464103 0
0.166154 0.488462 0
0.166154 0.512821 0
0.166154 0.537179 0
0.166154 0.561538 0
0.166154 0.585897 0
0.166154 0.610256 0
0.166154 0.634615 0
0.166154 0.658974 0
0.166154 0.683333 0
0.166154 0.707692 0
0.166154 0.732051 0
0.166154 0.75641 0
0.166154 0.780769 0
0.166154 0.805128 0
0.166154 0.829487 0
0.166154 0.853846 0
0.166154 0.878205 0
0.166154 0.902564 0
0.166154 0.926923 0
0.166154 0.951282 0
0.166154 0.975641 0
0.166154 1 0

0.17359 0.05 0
0.17359 0.074359 0
0.17359 0.0987179 0
0.17359 0.123077 0
0.17359 0.147436 0
0.17359 0.171795 0
0.17359 0.196154 0
0.17359 0.220513 0
0.17359 0.244872 0
0.17359 0.269231 0
0.17359 0.29359 0
0.17359 0.317949 0
0.17359 0.342308 0
0.17359 0.366667 0
0.17359 0.391026 0
0.17359 0.415385 0
0.17359 0.439744 0
0.17359 0.464103 0
0.17359 0.488462 0
0.17359 0.512821 0
0.17359 0.537179 0
0.17359 0.561538 0
0.17359 0.585897 0
0.17359 0.610256 0
0.17359 0.634615 0
0.17359 0.658974 0
0.17359 0.683333 0
0.17359 0.707692 0
0.17359 0.732051 0
0.17359 0.75641 0
0.17359 0.780769 0
0.17359 0.805128 0
0.17359 0.829487 0
0.17359 0.853846 0
0.17359 0.878205 0
0.17359 0.902564 0
0.17359 0.926923 0
0.17359 0.951282 0
0.17359 0.975641 0
0.17359 1 0

0.181026 0.05 0
0.181026 0.074359 0
0.181026 0.0987179 0
0.181026 0.123077 0
0.181026 0.147436 0
0.181026 0.171795 0
0.181026 0.196154 0
0.181026 0.220513 0
0.181026 0.244872 0
0.181026 0.269231 0
0.181026 0.29359 0
0.181026 0.317949 0
0.181026 0.342308 0
0.181026 0.366667 0
0.181026 0.391026 0
0.181026 0.415385 0
0.181026 0.439744 0
0.181026 0.464103 0
0.181026 0.488462 0
0.181026 0.512821 0
0.181026 0.537179 0
0.181026 0.561538 0
0.181026 0.585897 0
0.181026 0.610256 0
0.181026 0.634615 0
0.181026 0.658974 0
0.181026 0.683333 0
0.181026 0.707692 0
0.181026 0.732051 0
0.181026 0.75641 0
0.181026 0.780769 0
0.181026 0.805128 0
0.181026 0.829487 0
0.181026 0.853846 0
0.181026 0.878205 0
0.181026 0.902564 0
0.181026 0.926923 0
0.181026 0.951282 0
0.181026 0.975641 0
0.181026 1 0

0.188462 0.05 0
0.188462 0.074359 0
0.188462 0.0987179 0
0.188462 0.123077 0
0.188462 0.147436 0
0.188462 0.171795 0
0.188462 0.196154 0
0.188462 0.220513 0
0.188462 0.244872 0
0.188462 0.269231 0
0.188462 0.29359 0
0.188462 0.317949 0
0.188462 0.342308 0
0.188462 0.366667 0
0.188462 0.391026 0
0.188462 0.415385 0
0.188462 0.439744 0
0.188462 0.464103 0
0.188462 0.488462 0
0.188462 0.512821 0
0.188462 0.537179 0
0.188462 0.561538 0
0.188462 0.585897 0
0.188462 0.610256 0
0.188462 0.634615 0
0.188462 0.658974 0
0.188462 0.683333 0
0.188462 0.707692 0
0.188462 0.732051 0
0.188462 0.75641 0
0.188462 0.780769 0
0.188462 0.805128 0
0.188462 0.829487 0
0.188462 0.853846 0
0.188462 0.878205 0
0.188462 0.902564 0
0.188462 0.926923 0
0.188462 0.951282 0
0.188462 0.975641 0
0.188462 1 0

0.195897 0.05 0
0.195897 0.074359 0
0.195897 0.0987179 0
0.195897 0.123077 0
0.195897 0.147436 0
0.195897 0.171795 0
0.195897 0.196154 0
