x y lead slope theta0 tamb elev
536.535 4308.795 74.31382 4.511445 0.08 25.67207 1067.855
543.015 4308.795 79.89045 9.368952 0.1498264 30.10625 354.0305
548.955 4308.795 78.40294 2.737719 0.1216956 29.68735 457.4625
555.435 4308.795 79.28768 0.7327387 0.2745263 31.80524 128.7309
561.915 4308.795 79.70575 1.319869 0.1641342 31.543 169.3961
568.395 4308.795 79.27578 0.05898407 0.34 32.05385 88.98494
574.875 4308.795 77.86402 0.7712311 0.1233976 31.82784 121.9225
581.355 4308.795 75.15064 11.25013 0.08 29.3188 505.6491
587.835 4308.795 74.22373 4.077714 0.08 27.07225 859.609
594.315 4308.795 76.2383 11.15614 0.08318856 28.78553 587.406
600.795 4308.795 75.7423 12.95144 0.08 28.16314 635.392
484.695 4308.255 80.04187 7.007158 0.1552138 32.43273 7.494802
499.815 4308.255 79.60996 0.6332023 0.1970925 32.62188 1.102462
510.075 4308.255 75.18754 6.186894 0.08058125 30.65089 286.2784
516.555 4308.255 78.40512 10.57305 0.09648261 29.01461 519.2367
523.035 4308.255 75.30668 12.51141 0.08 27.60664 759.0845
529.515 4308.255 79.30414 7.706688 0.2104948 29.17952 530.0959
535.995 4308.255 75.89555 5.382572 0.08783031 26.31552 980.1837
542.475 4308.255 75.32044 11.31797 0.08 30.11601 386.468
548.955 4308.255 74.88408 3.806212 0.08000386 29.80437 428.2093
554.895 4308.255 78.61736 2.788641 0.1019222 31.75835 130.7554
561.375 4308.255 78.15278 0.8593904 0.123424 31.51988 171.448
567.855 4308.255 79.55358 0.5849285 0.193559 32.05058 89.59287
574.335 4308.255 78.59564 1.051072 0.1311758 31.90225 113.6306
580.815 4308.255 78.63595 11.91956 0.1269112 30.00757 412.4732
587.295 4308.255 79.61143 14.28792 0.2001137 27.6119 777.7582
593.775 4308.255 77.11201 13.37321 0.08725514 29.18381 536.5645
600.255 4308.255 75.76609 15.27251 0.08 27.89024 660.6727
484.155 4307.715 74.40857 1.086706 0.08029002 32.47516 26.49633
504.675 4307.715 79.49147 0.4443788 0.2239071 32.6186 1
511.155 4307.715 79.78373 7.947433 0.1693237 31.1902 232.0528
517.635 4307.715 75.94818 8.099261 0.08180053 28.97897 543.3086
524.115 4307.715 78.24426 9.167915 0.09905744 28.05688 702.2828
530.595 4307.715 74.82313 10.93522 0.08 27.94674 689.317
537.075 4307.715 75.12374 9.03329 0.08 25.73123 1033.008
543.555 4307.715 75.57718 6.839113 0.09226389 30.51192 319.6295
550.035 4307.715 74.58371 10.86436 0.08 29.65942 457.8699
555.975 4307.715 79.25116 0.5904461 0.3267059 31.87345 118.0191
562.455 4307.715 78.61439 3.466467 0.09930771 31.50899 177.8249
568.935 4307.715 79.76858 0.3964713 0.1641342 32.05971 87.73835
575.415 4307.715 78.26018 5.278807 0.09129232 31.45421 169.2723
581.895 4307.715 80.35674 14.36609 0.1511357 29.82487 413.84
588.375 4307.715 75.83573 16.52808 0.08277085 28.22548 676.8695
594.855 4307.715 75.15178 9.585211 0.08 29.63289 468.7654
601.335 4307.715 74.67418 10.87406 0.08 27.75412 744.9001
487.935 4307.175 75.76818 5.687351 0.08613797 32.56509 7.493521
506.835 4307.175 79.8011 4.746458 0.1686317 32.14115 81.31216
513.315 4307.175 78.20463 1.706932 0.1174399 30.36609 344.0383
519.795 4307.175 77.95856 5.516736 0.09449747 29.81347 427.6634
526.275 4307.175 78.41687 9.624462 0.093348 28.60288 602.6477
532.755 4307.175 74.87009 14.04197 0.08 28.18373 690.7357
539.235 4307.175 75.22869 14.18877 0.08 29.30869 514.3218
545.715 4307.175 78.14857 3.467909 0.1248605 29.58509 458.6624
552.195 4307.175 76.60934 25.70898 0.08 28.5148 484.419
558.675 4307.175 74.6677 10.41224 0.08 31.61489 154.6957
564.615 4307.175 75.86862 0.760204 0.1039249 31.77362 133.6297
571.095 4307.175 79.29212 0.470337 0.3139151 32.04065 90.72818
577.575 4307.175 78.06986 3.424779 0.1102303 31.06321 239.0374
584.055 4307.175 78.22916 5.853401 0.1290037 28.97682 564.5814
590.535 4307.175 74.92876 8.477342 0.08 28.57051 618.6707
597.015 4307.175 78.44632 7.205744 0.1276115 29.49298 458.3004
603.495 4307.175 75.38086 5.696676 0.09634456 28.35393 664.9541
507.915 4306.635 75.09921 4.672129 0.08 31.96665 106.1943
514.395 4306.635 75.03351 8.813217 0.08 29.50891 448.4598
520.335 4306.635 75.21235 6.4236 0.08 29.64297 464.085
526.815 4306.635 77.84902 8.147393 0.1066921 28.7821 578.295
533.295 4306.635 76.14113 23.75523 0.08 26.73337 787.4895
539.775 4306.635 74.60949 9.432996 0.08 28.72937 566.9496
546.255 4306.635 74.91569 3.589071 0.08 29.42324 494.1698
552.735 4306.635 76.07051 19.44347 0.08 30.35946 320.8282
559.215 4306.635 78.33908 2.830551 0.1057944 31.80068 129.9816
565.695 4306.635 78.69574 1.928396 0.1233205 31.94883 109.211
571.635 4306.635 79.77281 0.5355967 0.1641342 32.07529 86.84686
578.115 4306.635 74.56089 6.972919 0.08 30.63753 283.8969
584.595 4306.635 78.71421 7.100183 0.1435593 28.5426 609.6653
591.075 4306.635 75.54293 14.98357 0.08 29.2515 488.9736
597.555 4306.635 78.56127 6.560624 0.09912967 28.92086 549.4716
604.035 4306.635 78.47413 10.17956 0.08830374 28.5035 636.5164
507.915 4306.095 75.19326 7.949392 0.08025141 32.17111 70.27238
514.395 4306.095 75.24776 7.2367 0.08 29.34412 489.1305
520.875 4306.095 75.86093 17.40129 0.08 29.27114 468.9556
526.815 4306.095 74.55749 3.408357 0.08 28.91909 574.7734
533.295 4306.095 75.21175 12.64242 0.08 27.23108 838.7134
539.775 4306.095 75.16022 13.02146 0.08 27.97798 670.402
546.255 4306.095 75.47184 9.20552 0.08766995 29.44753 488.7946
552.735 4306.095 76.10526 17.87501 0.08 30.71432 265.2182
559.215 4306.095 78.01884 2.811992 0.09724871 31.93157 112.5825
565.695 4306.095 80.00786 1.307048 0.1480386 32.01744 97.34378
572.175 4306.095 77.28989 0.3282688 0.1311758 32.07803 85.74371
578.655 4306.095 78.38023 4.198536 0.1378405 30.74227 285.6392
584.595 4306.095 78.70696 11.04107 0.1000695 27.56345 736.2784
591.075 4306.095 74.54937 5.436086 0.08 29.55704 478.6296
597.555 4306.095 76.40254 17.71836 0.08302993 28.00445 628.3926
604.035 4306.095 79.55922 8.239932 0.1647259 28.96414 572.1898
508.455 4305.555 78.37698 8.964177 0.1002279 31.88819 102.2606
514.935 4305.555 75.60164 4.251648 0.09138367 29.4186 486.3168
521.415 4305.555 74.48295 6.830877 0.08 29.13586 526.0684
527.895 4305.555 79.31911 8.273758 0.2462167 29.72555 430.231
534.375 4305.555 74.56164 6.75237 0.08139012 28.09122 677.1206
540.315 4305.555 75.55355 19.82721 0.08 27.70246 740.3897
546.795 4305.555 75.35763 13.83431 0.08 29.40223 449.4876
553.275 4305.555 75.23719 9.594468 0.08 31.41971 176.5817
559.755 4305.555 77.82676 2.719006 0.1012975 31.91329 110.503
566.235 4305.555 78.71901 1.185593 0.1217918 32.03681 93.73574
572.715 4305.555 77.87557 4.247633 0.1056499 32.08066 88.91473
579.195 4305.555 74.2963 6.862299 0.08 30.35536 356.2164
585.675 4305.555 75.06 10.23209 0.08 26.70334 904.5463
591.615 4305.555 79.87161 4.535941 0.1510795 29.92226 414.1998
598.095 4305.555 74.35063 9.483916 0.08 28.63874 622.7858
604.575 4305.555 79.49546 10.15269 0.1904817 29.04053 557.166
509.535 4305.015 79.93498 6.232637 0.1551001 31.72252 128.5816
516.015 4305.015 76.59029 11.44566 0.08672462 29.63398 469.3192
522.495 4305.015 79.25305 7.123528 0.2263241 29.25077 518.6703
528.975 4305.015 74.75952 8.727795 0.08 29.41002 502.1173
535.455 4305.015 75.38288 10.49499 0.08 28.02616 718.0366
541.935 4305.015 75.54964 8.69907 0.08791756 29.91497 419.5408
547.875 4305.015 74.87714 5.614601 0.08271369 30.52891 327.7323
554.355 4305.015 79.40531 1.116855 0.2251391 31.89833 113.0788
560.835 4305.015 76.47108 3.166939 0.09484705 31.9265 114.1166
567.315 4305.015 79.29379 0.4244465 0.34 32.1101 79.80662
573.795 4305.015 74.19946 6.244332 0.08 31.80901 132.8432
580.275 4305.015 75.5572 14.09622 0.08 29.17048 471.8425
586.755 4305.015 78.67668 15.00051 0.1067493 27.61704 708.3038
593.235 4305.015 78.29374 8.827726 0.1047494 30.44221 335.4106
599.715 4305.015 74.63129 8.868976 0.08 28.31473 661.9305
503.595 4304.475 78.79903 0.02772407 0.1311758 32.62495 1
510.075 4304.475 79.52061 6.493945 0.2267159 31.9464 98.71774
